container.title,created,deposited,published.print,doi,indexed,issn,issue,issued,page,publisher,source,subject,title,type,url,short.container.title,language
Annals of Japan Prosthodontic Society,2009-05-15,2021-05-20,2009,10.2186/ajps.1.38,2022-03-29,"1883-6860,1883-4426",1,2009,38-45,Japan Prosthodontic Society,Crossref,General Medicine,Relationship between the Number of Occlusal Contacts in Intercuspal Position and the Jaw and the Sternocleidomastoid Muscle Activities during Maximum Voluntary Teeth Clenching,journal-article,http://dx.doi.org/10.2186/ajps.1.38,"Nihon Hotetsu Shika Gakkaishi,Ann Jpn Prosthodont Soc",NA
Japanese Journal of Ornithology,2011-09-20,2021-05-20,1978,10.3838/jjo1915.27.105,2022-04-02,"0040-9480,1881-9702",4,1978,105-112,JStage (Ornithological Society of Japan),Crossref,NA,BODY TRAITS AND BEHAVIOUR IN WILD JAPANESE QUAIL COTURNIX COTURNIX JAPONICA,journal-article,http://dx.doi.org/10.3838/jjo1915.27.105,Japanese Journal of Ornithology,NA
CABI Compendium,2022-11-24,2022-11-24,2022-01-07,10.1079/cabicompendium.76569,2022-11-25,2958-3969,NA,2022-01-07,NA,CABI Publishing,Crossref,NA,Lonchura leucogastra,journal-article,http://dx.doi.org/10.1079/cabicompendium.76569,CABI Compendium,en
Journal of the Japanese Society for Horticultural Science,2010-04-22,2022-11-04,2010,10.2503/jjshs1.79.215,2023-02-12,"1882-336X,1882-3351",2,2010,215-220,Japanese Society for Horticultural Science,Crossref,NA,"An Acylated Cyanidin 3,7-diglucoside in the Bluish Flowers of Bletilla striata ‘Murasaki Shikibu’ (Orchidaceae)",journal-article,http://dx.doi.org/10.2503/jjshs1.79.215,J. Japan. Soc. Hort. Sci.,en
NIPPON SUISAN GAKKAISHI,2010-02-19,2021-10-23,2009,10.2331/suisan.75.989,2022-04-02,"1349-998X,0021-5392",6,2009,989-994,Japanese Society of Fisheries Science,Crossref,Aquatic Science,Validation of acceleration records to monitor swimming and prey-capture behavior in the captive northern fur seal,journal-article,http://dx.doi.org/10.2331/suisan.75.989,NSUGAF,ja
The Bulletin of the Japanese Bird Banding Association,2015-08-19,2017-06-23,2005,10.14491/jbba.ar132,2022-04-03,"0914-4307,2187-2481",1,2005,9-15,The Japanese Bird Banding Association,Crossref,General Medicine,"Fat Score and Body Weight of Black-faced Bunting, &lt;i&gt;Emberiza spodocephala&lt;/i&gt;, in Ishikari City, Hokkaido, Japan",journal-article,http://dx.doi.org/10.14491/jbba.ar132,Bull Jpn Bird Banding Assoc,en
Nosotchu,2010-08-31,2021-05-20,1990,10.3995/jstroke.12.381,2022-04-05,"0912-0726,1883-1923",4,1990,381-386,Japan Stroke Society,Crossref,General Medicine,Venous stasis retinopathy and ischemic oculopathy associated with internal carotid artery occlusive disease.,journal-article,http://dx.doi.org/10.3995/jstroke.12.381,Jpn. J. Stroke,ja
Journal of the Japanese Society for Horticultural Science,2012-01-20,2022-11-04,2012,10.2503/jjshs1.81.91,2023-02-08,"1882-336X,1882-3351",1,2012,91-100,Japanese Society for Horticultural Science,Crossref,NA,Flower Colors and their Anthocyanins in Matthiola incana Cultivars (Brassicaceae),journal-article,http://dx.doi.org/10.2503/jjshs1.81.91,J. Japan. Soc. Hort. Sci.,en
Crustacean Research,2017-05-14,2017-05-14,1993,10.18353/crustacea.22.0_75,2022-12-30,"0287-3478,2189-5317",0,1993,75-81,Carcinological Society of Japan,Crossref,General Medicine,"Growth and reproduction of the spider crab, Pugettia quadridens quadridens (De Haan) (Brachyura: Majidae)",journal-article,http://dx.doi.org/10.18353/crustacea.22.0_75,Crust Res,en
Anthropological Science,2021-02-26,2021-05-01,2021,10.1537/ase.2012131,2022-03-31,"0918-7960,1348-8570",1,2021,87-98,Anthropological Society of Nippon,Crossref,Anthropology,"New hominoid mandible from the early Late Miocene Irrawaddy Formation in Tebingan area, central Myanmar",journal-article,http://dx.doi.org/10.1537/ase.2012131,"AS,Anthropological Science",en
